Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
Volga Video,15700000,9787697838.0,Film & Animation,16874,IN,139.0,51315000.0,12800.0,205300.0,153900.0,2500000.0,2012.0,3,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
DM - Desi Melodies,15700000,5914071870.0,Music,79,IN,121.0,141842000.0,35500.0,567400.0,425500.0,6800000.0,2017.0,7,8.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Team Films Bhojpuri,15700000,6626563508.0,Music,19703,IN,121.0,30744000.0,7700.0,123000.0,92200.0,1500000.0,2014.0,7,18.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Zee Music Classic,15700000,5558051295.0,Music,1640,IN,121.0,86450000.0,21600.0,345800.0,259300.0,4100000.0,2014.0,5,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Prime Video India,15700000,8696631898.0,Entertainment,7090,US,139.0,335111000.0,83800.0,1300000.0,1000000.0,16100000.0,2016.0,10,3.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Caeli YT,15600000,1511794214.0,Entertainment,483,MX,140.0,62551000.0,0.0,0.0,0.0,0.0,2010.0,9,22.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Linus Tech Tips,15600000,7172386509.0,Science & Technology,6542,CA,11.0,88224000.0,22100.0,352900.0,264700.0,4200000.0,2008.0,11,25.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
Juliana Baltar,15600000,3869457097.0,Entertainment,2019,BR,140.0,56218000.0,14100.0,224900.0,168700.0,2700000.0,2010.0,5,9.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
5-Minute Crafts FAMILY,15600000,6165757696.0,People & Blogs,4245,US,21.0,27382000.0,6800.0,109500.0,82100.0,1300000.0,2018.0,12,13.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Blippi Espaï¿½ï,15500000,8984089026.0,People & Blogs,598,MX,32.0,90012000.0,22500.0,360000.0,270000.0,4300000.0,2017.0,1,13.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Katakit Baby TV,15500000,6386271870.0,Music,220,SA,122.0,90914000.0,22700.0,363700.0,272700.0,4400000.0,2010.0,7,26.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
Infobells Bangla,15500000,7776706184.0,Education,359,IN,32.0,167888000.0,42000.0,671600.0,503700.0,8100000.0,2016.0,6,13.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
ýýýýýýýý ýý ýýýýýýýý,15500000,8265129639.0,Shows,1021,SA,33.0,135036000.0,33800.0,540100.0,405100.0,6500000.0,2017.0,5,16.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
Henrique e Juliano,15500000,14619523361.0,Music,325,BR,123.0,163678000.0,40900.0,654700.0,491000.0,7900000.0,2009.0,6,27.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Kashvi Adlakha,15500000,12714141740.0,Entertainment,1525,IN,141.0,139123000.0,34800.0,556500.0,417400.0,6700000.0,2017.0,4,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Talking Tom & Friends,15500000,6396049701.0,Entertainment,417,US,34.0,27375000.0,6800.0,109500.0,82100.0,1300000.0,2010.0,10,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,15500000,4499826716.0,Howto & Style,5183,EG,22.0,32916000.0,8200.0,131700.0,98700.0,1600000.0,2017.0,12,8.0,35.2,100388073.0,10.76,42895824.0,26.820553,30.802498
Harsh Beniwal,15400000,1781226000.0,Comedy,165,IN,27.0,27963000.0,7000.0,111900.0,83900.0,1300000.0,2015.0,5,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
FFUNTV,15400000,11513738907.0,Gaming,379,AE,141.0,80172000.0,20000.0,320700.0,240500.0,3800000.0,2018.0,7,18.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
